,Name , Data Type , Measurement , Description
0,Elevation , quantitative ,meters , Elevation in meters
1,Aspect , quantitative , azimuth , Aspect in degrees azimuth
2,Slope , quantitative , degrees , Slope in degrees
3,Horizontal_Distance_To_Hydrology , quantitative , meters , Horz Dist to nearest surface water features
4,Vertical_Distance_To_Hydrology , quantitative , meters , Vert Dist to nearest surface water features
5,Horizontal_Distance_To_Roadways , quantitative , meters , Horz Dist to nearest roadway
6,Hillshade_9am , quantitative , 0 to 255 index ," Hillshade index at 9am, summer solstice"
7,Hillshade_Noon , quantitative , 0 to 255 index ," Hillshade index at noon, summer soltice"
8,Hillshade_3pm , quantitative , 0 to 255 index ," Hillshade index at 3pm, summer solstice"
9,Horizontal_Distance_To_Fire_Points , quantitative , meters , Horz Dist to nearest wildfire ignition points
10,Wilderness_Area (4 binary columns) , qualitative , 0 (absence) or 1 (presence) , Wilderness area designation
11,Soil_Type (40 binary columns) , qualitative , 0 (absence) or 1 (presence) , Soil Type designation
12,Cover_Type (7 types) , integer , 1 to 7 , Forest Cover Type designation
